experiment,id,role,question,ground_truth,prediction,prompt,em,f1,rouge_l,latency_ms,retrieved_1,retrieved_2,retrieved_3,retrieved_4,retrieved_5,retrieved_context,retrieved_candidates
dense,0,clinician,What is the primary objective of radical acceptance in distress tolerance?,"Distress Tolerance 
DBT skills 
Provided by TherapistAid.com 
 1 
© 2024 Therapist Aid LLC 
 
 
 
When you face problems out of your control, it’s natural to think “This isn’t fair” or “I shouldn’t have to deal 
with this.” But these ways of thinking only make the pain worse and add frustration. Radical acceptance means accepting something fully, both mentally and emotionally. It does not require 
liking or approving of something.","According to the DBT skills standard, the primary objective of radical acceptance in distress tolerance is to accept the situation fully, both mentally and emotionally, without liking or approving it. This allows individuals to acknowledge the facts of the situation without adding frustration or making the pain worse.","You are a clinical assistant.

Context:
[Source: data\curated_kb\dbt-distress-tolerance-skills-standard-english.pdf | Rank: 1 | Chunk: dbt-distress-tolerance-skills-standard-english_0_parent_0_child_0]
Distress Tolerance 
DBT skills 
Provided by TherapistAid.com 
 1 
© 2024 Therapist Aid LLC 
 
 
 
When you face problems out of your control, it’s natural to think “This isn’t fair” or “I shouldn’t have to deal 
with this.” But these ways of thinking only make the pain worse and add frustration. Radical acceptance means accepting something fully, both mentally and emotionally. It does not require 
liking or approving of something. You’re just accepting the facts of the situation.

Clinical Query:
What is the primary objective of radical acceptance in distress tolerance?

Answer:",0.0,0.41379310344827586,0.25210084033613445,8415.655490010977,"Distress Tolerance 
DBT skills 
Provided by TherapistAid.com 
 1 
© 2024 Therapist Aid LLC 
 
 
 
When you face problems out of your control, it’s natural to think “This isn’t fair” or “I shouldn’t have to deal 
with this.” But these ways of thinking only make the pain worse and add frustration. Radical acceptance means accepting something fully, both mentally and emotionally. It does not require 
liking or approving of something. You’re just accepting the facts of the situation.",,,,,"Distress Tolerance 
DBT skills 
Provided by TherapistAid.com 
 1 
© 2024 Therapist Aid LLC 
 
 
 
When you face problems out of your control, it’s natural to think “This isn’t fair” or “I shouldn’t have to deal 
with this.” But these ways of thinking only make the pain worse and add frustration. Radical acceptance means accepting something fully, both mentally and emotionally. It does not require 
liking or approving of something. You’re just accepting the facts of the situation.","Distress Tolerance 
DBT skills 
Provided by TherapistAid.com 
 1 
© 2024 Therapist Aid LLC 
 
 
 
When you face problems out of your control, it’s natural to think “This isn’t fair” or “I shouldn’t have to deal 
with this.” But these ways of thinking only make the pain worse and add frustration. Radical acceptance means accepting something fully, both mentally and emotionally. It does not require 
liking or approving of something. You’re just accepting the facts of the situation."
dense,1,clinician,"What is the primary mechanism by which the ACCEPTS acronym helps individuals manage painful emotions, according to this passage?","Distress Tolerance 
DBT skills 
Provided by TherapistAid.com 
 2 
© 2024 Therapist Aid LLC 
 
 
 
In the moment, it might feel like a painful emotion will never pass. But given time, emotions lessen in 
intensity until they disappear. Sometimes you just need to get through the next few minutes or hours.","According to the passage, the primary mechanism by which the ACCEPTS acronym helps individuals manage painful emotions is by providing distractions that allow them to ""buy time"" and get through an emotional downswing.","You are a clinical assistant.

Context:
[Source: data\curated_kb\dbt-distress-tolerance-skills-standard-english.pdf | Rank: 1 | Chunk: dbt-distress-tolerance-skills-standard-english_1_parent_0_child_0]
Distress Tolerance 
DBT skills 
Provided by TherapistAid.com 
 2 
© 2024 Therapist Aid LLC 
 
 
 
In the moment, it might feel like a painful emotion will never pass. But given time, emotions lessen in 
intensity until they disappear. Sometimes you just need to get through the next few minutes or hours. Distractions help you buy time and make it through an emotional downswing. The acronym ACCEPTS offers 
tips for how to do this. A 
Activities  
Engage in activities that require thought and concentration.

Clinical Query:
What is the primary mechanism by which the ACCEPTS acronym helps individuals manage painful emotions, according to this passage?

Answer:",0.0,0.21951219512195122,0.17073170731707318,2162.5383470673114,"Distress Tolerance 
DBT skills 
Provided by TherapistAid.com 
 2 
© 2024 Therapist Aid LLC 
 
 
 
In the moment, it might feel like a painful emotion will never pass. But given time, emotions lessen in 
intensity until they disappear. Sometimes you just need to get through the next few minutes or hours. Distractions help you buy time and make it through an emotional downswing. The acronym ACCEPTS offers 
tips for how to do this. A 
Activities  
Engage in activities that require thought and concentration.",,,,,"Distress Tolerance 
DBT skills 
Provided by TherapistAid.com 
 2 
© 2024 Therapist Aid LLC 
 
 
 
In the moment, it might feel like a painful emotion will never pass. But given time, emotions lessen in 
intensity until they disappear. Sometimes you just need to get through the next few minutes or hours. Distractions help you buy time and make it through an emotional downswing. The acronym ACCEPTS offers 
tips for how to do this. A 
Activities  
Engage in activities that require thought and concentration.","Distress Tolerance 
DBT skills 
Provided by TherapistAid.com 
 2 
© 2024 Therapist Aid LLC 
 
 
 
In the moment, it might feel like a painful emotion will never pass. But given time, emotions lessen in 
intensity until they disappear. Sometimes you just need to get through the next few minutes or hours. Distractions help you buy time and make it through an emotional downswing. The acronym ACCEPTS offers 
tips for how to do this. A 
Activities  
Engage in activities that require thought and concentration."
dense,2,clinician,What is the accepted strategy for managing anxiety per this passage?,"Wear a rubber band 
and snap it on your wrist, hold an ice cube in your hand, or eat something sour like a lime.","According to the passage, one way to manage anxiety is to ""Do something unrelated that occupies your thoughts"". This suggests that engaging in an activity that requires focus and attention can help shift one's mental energy away from the anxiety-producing event.","You are a clinical assistant.

Context:
[Source: data\curated_kb\dbt-emotion-regulation-skills-standard-english.pdf | Rank: 1 | Chunk: dbt-emotion-regulation-skills-standard-english_0_parent_2_child_0]
Emotion 
Action 
Opposite Action 
Anger 
Fight, yell, and argue 
Talk quietly and behave politely 
Sadness 
Withdraw from friends 
Call or visit a friend 
Anxiety 
Dwell on the anxiety-producing 
event 
Do something unrelated that 
occupies your thoughts 
  
 
 
Have you ever had a strong emotional reaction to something, then regretted it the next day? Oftentimes, the 
things that feel like a big deal in the moment turn out to be unimportant when we look back with a clear 
mind.

Clinical Query:
What is the accepted strategy for managing anxiety per this passage?

Answer:",0.0,0.15384615384615383,0.059701492537313425,2208.4691799245775,"Emotion 
Action 
Opposite Action 
Anger 
Fight, yell, and argue 
Talk quietly and behave politely 
Sadness 
Withdraw from friends 
Call or visit a friend 
Anxiety 
Dwell on the anxiety-producing 
event 
Do something unrelated that 
occupies your thoughts 
  
 
 
Have you ever had a strong emotional reaction to something, then regretted it the next day? Oftentimes, the 
things that feel like a big deal in the moment turn out to be unimportant when we look back with a clear 
mind.",,,,,"Emotion 
Action 
Opposite Action 
Anger 
Fight, yell, and argue 
Talk quietly and behave politely 
Sadness 
Withdraw from friends 
Call or visit a friend 
Anxiety 
Dwell on the anxiety-producing 
event 
Do something unrelated that 
occupies your thoughts 
  
 
 
Have you ever had a strong emotional reaction to something, then regretted it the next day? Oftentimes, the 
things that feel like a big deal in the moment turn out to be unimportant when we look back with a clear 
mind.","Emotion 
Action 
Opposite Action 
Anger 
Fight, yell, and argue 
Talk quietly and behave politely 
Sadness 
Withdraw from friends 
Call or visit a friend 
Anxiety 
Dwell on the anxiety-producing 
event 
Do something unrelated that 
occupies your thoughts 
  
 
 
Have you ever had a strong emotional reaction to something, then regretted it the next day? Oftentimes, the 
things that feel like a big deal in the moment turn out to be unimportant when we look back with a clear 
mind."
dense,3,clinician,"When a patient reports strong emotions, what is the primary goal for the clinician to achieve in this scenario?","Practice checking the facts to reduce the intensity of these extreme emotions. Ask yourself the following questions when you notice a strong emotion brewing: 
  
 
What event triggered my emotion? What interpretations or assumptions am I making about the event?","According to the DBT skills provided by Therapist Aid LLC, when a patient reports strong emotions, the primary goal for the clinician is to help the patient ""buy time"" and make it through the emotional downswing. This can be achieved by using distractions, such as engaging in activities that require thought and concentration (ACCEPTS tip: Activities).","You are a clinical assistant.

Context:
[Source: data\curated_kb\dbt-distress-tolerance-skills-standard-english.pdf | Rank: 1 | Chunk: dbt-distress-tolerance-skills-standard-english_1_parent_0_child_0]
Distress Tolerance 
DBT skills 
Provided by TherapistAid.com 
 2 
© 2024 Therapist Aid LLC 
 
 
 
In the moment, it might feel like a painful emotion will never pass. But given time, emotions lessen in 
intensity until they disappear. Sometimes you just need to get through the next few minutes or hours. Distractions help you buy time and make it through an emotional downswing. The acronym ACCEPTS offers 
tips for how to do this. A 
Activities  
Engage in activities that require thought and concentration.

Clinical Query:
When a patient reports strong emotions, what is the primary goal for the clinician to achieve in this scenario?

Answer:",0.0,0.18947368421052632,0.16842105263157894,2830.0140409264714,"Distress Tolerance 
DBT skills 
Provided by TherapistAid.com 
 2 
© 2024 Therapist Aid LLC 
 
 
 
In the moment, it might feel like a painful emotion will never pass. But given time, emotions lessen in 
intensity until they disappear. Sometimes you just need to get through the next few minutes or hours. Distractions help you buy time and make it through an emotional downswing. The acronym ACCEPTS offers 
tips for how to do this. A 
Activities  
Engage in activities that require thought and concentration.",,,,,"Distress Tolerance 
DBT skills 
Provided by TherapistAid.com 
 2 
© 2024 Therapist Aid LLC 
 
 
 
In the moment, it might feel like a painful emotion will never pass. But given time, emotions lessen in 
intensity until they disappear. Sometimes you just need to get through the next few minutes or hours. Distractions help you buy time and make it through an emotional downswing. The acronym ACCEPTS offers 
tips for how to do this. A 
Activities  
Engage in activities that require thought and concentration.","Distress Tolerance 
DBT skills 
Provided by TherapistAid.com 
 2 
© 2024 Therapist Aid LLC 
 
 
 
In the moment, it might feel like a painful emotion will never pass. But given time, emotions lessen in 
intensity until they disappear. Sometimes you just need to get through the next few minutes or hours. Distractions help you buy time and make it through an emotional downswing. The acronym ACCEPTS offers 
tips for how to do this. A 
Activities  
Engage in activities that require thought and concentration."
dense,4,clinician,What is the minimum number of symptoms required for a diagnosis of Major Depressive Disorder according to DSM-5 criteria?,"# DSM-5 Major Depressive Disorder Criteria

## Diagnostic Criteria
A. Five (or more) of the following symptoms have been present during the same 2-week period and represent a change from previous functioning; at least one of the symptoms is either (1) depressed mood or (2) loss of interest or pleasure. Depressed mood most of the day, nearly every day.","As a clinical assistant, I can provide you with the answer to your query!

According to the Diagnostic and Statistical Manual of Mental Disorders, 5th Edition (DSM-5), the minimum number of symptoms required for a diagnosis of Major Depressive Disorder is:

* Five or more depressive episodes during the same 2-week period, characterized by at least one of the following:
	+ Depressed mood most of the day
	+ Markedly diminished interest in activities that were previously enjoyed
	+ Significant changes in appetite and/or sleep patterns
	+ Loss of energy or fatigue
	+ Difficulty concentrating or making decisions
	+ Repeated thoughts of death or suicide

Please note that this is a simplified summary, and a comprehensive diagnosis should be made by a qualified mental health professional after conducting a thorough evaluation.","You are a clinical assistant.

Context:
[Source: data\curated_kb\dbt-distress-tolerance-skills-standard-english.pdf | Rank: 1 | Chunk: dbt-distress-tolerance-skills-standard-english_1_parent_0_child_0]
Distress Tolerance 
DBT skills 
Provided by TherapistAid.com 
 2 
© 2024 Therapist Aid LLC 
 
 
 
In the moment, it might feel like a painful emotion will never pass. But given time, emotions lessen in 
intensity until they disappear. Sometimes you just need to get through the next few minutes or hours. Distractions help you buy time and make it through an emotional downswing. The acronym ACCEPTS offers 
tips for how to do this. A 
Activities  
Engage in activities that require thought and concentration.

Clinical Query:
What is the minimum number of symptoms required for a diagnosis of Major Depressive Disorder according to DSM-5 criteria?

Answer:",0.0,0.4111111111111112,0.28108108108108104,5148.228052072227,"Distress Tolerance 
DBT skills 
Provided by TherapistAid.com 
 2 
© 2024 Therapist Aid LLC 
 
 
 
In the moment, it might feel like a painful emotion will never pass. But given time, emotions lessen in 
intensity until they disappear. Sometimes you just need to get through the next few minutes or hours. Distractions help you buy time and make it through an emotional downswing. The acronym ACCEPTS offers 
tips for how to do this. A 
Activities  
Engage in activities that require thought and concentration.",,,,,"Distress Tolerance 
DBT skills 
Provided by TherapistAid.com 
 2 
© 2024 Therapist Aid LLC 
 
 
 
In the moment, it might feel like a painful emotion will never pass. But given time, emotions lessen in 
intensity until they disappear. Sometimes you just need to get through the next few minutes or hours. Distractions help you buy time and make it through an emotional downswing. The acronym ACCEPTS offers 
tips for how to do this. A 
Activities  
Engage in activities that require thought and concentration.","Distress Tolerance 
DBT skills 
Provided by TherapistAid.com 
 2 
© 2024 Therapist Aid LLC 
 
 
 
In the moment, it might feel like a painful emotion will never pass. But given time, emotions lessen in 
intensity until they disappear. Sometimes you just need to get through the next few minutes or hours. Distractions help you buy time and make it through an emotional downswing. The acronym ACCEPTS offers 
tips for how to do this. A 
Activities  
Engage in activities that require thought and concentration."
dense,5,clinician,What is the minimum duration required for excessive anxiety and worry to be considered a hallmark feature of Generalized Anxiety Disorder (GAD)?,"**Relapse Prevention**: Creating a plan for maintaining gains

### Evidence Base:
Multiple RCTs demonstrate CBT efficacy for mild to moderate depression. Combined with medication for severe cases. ## Anxiety Disorders Overview

### Generalized Anxiety Disorder (GAD)
Excessive anxiety and worry occurring more days than not for at least 6 months, about a number of events or activities.","As a clinical assistant, I can provide you with the answer based on the available information. According to the Diagnostic and Statistical Manual of Mental Disorders, 5th Edition (DSM-5), excessive anxiety and worry are considered a hallmark feature of Generalized Anxiety Disorder (GAD) when they:

* Are persistent and excessive
* Interfere with daily life and social or occupational functioning
* Last for at least 6 months

So, the minimum duration required for excessive anxiety and worry to be considered a hallmark feature of GAD is 6 months.","You are a clinical assistant.

Context:
[Source: data\curated_kb\dbt-distress-tolerance-skills-standard-english.pdf | Rank: 1 | Chunk: dbt-distress-tolerance-skills-standard-english_1_parent_0_child_0]
Distress Tolerance 
DBT skills 
Provided by TherapistAid.com 
 2 
© 2024 Therapist Aid LLC 
 
 
 
In the moment, it might feel like a painful emotion will never pass. But given time, emotions lessen in 
intensity until they disappear. Sometimes you just need to get through the next few minutes or hours. Distractions help you buy time and make it through an emotional downswing. The acronym ACCEPTS offers 
tips for how to do this. A 
Activities  
Engage in activities that require thought and concentration.

Clinical Query:
What is the minimum duration required for excessive anxiety and worry to be considered a hallmark feature of Generalized Anxiety Disorder (GAD)?

Answer:",0.0,0.3165467625899281,0.24285714285714288,3825.2314690034837,"Distress Tolerance 
DBT skills 
Provided by TherapistAid.com 
 2 
© 2024 Therapist Aid LLC 
 
 
 
In the moment, it might feel like a painful emotion will never pass. But given time, emotions lessen in 
intensity until they disappear. Sometimes you just need to get through the next few minutes or hours. Distractions help you buy time and make it through an emotional downswing. The acronym ACCEPTS offers 
tips for how to do this. A 
Activities  
Engage in activities that require thought and concentration.",,,,,"Distress Tolerance 
DBT skills 
Provided by TherapistAid.com 
 2 
© 2024 Therapist Aid LLC 
 
 
 
In the moment, it might feel like a painful emotion will never pass. But given time, emotions lessen in 
intensity until they disappear. Sometimes you just need to get through the next few minutes or hours. Distractions help you buy time and make it through an emotional downswing. The acronym ACCEPTS offers 
tips for how to do this. A 
Activities  
Engage in activities that require thought and concentration.","Distress Tolerance 
DBT skills 
Provided by TherapistAid.com 
 2 
© 2024 Therapist Aid LLC 
 
 
 
In the moment, it might feel like a painful emotion will never pass. But given time, emotions lessen in 
intensity until they disappear. Sometimes you just need to get through the next few minutes or hours. Distractions help you buy time and make it through an emotional downswing. The acronym ACCEPTS offers 
tips for how to do this. A 
Activities  
Engage in activities that require thought and concentration."
dense,6,clinician,What is the passage suggesting about the timing of mental illness treatment?,"Once mental illness develops, it becomes a regular part of your child's behavior. But it's not always easy to know when your child has a serious problem. Everyday stresses can cause changes in your child's behavior.","The passage is not suggesting anything about the timing of mental illness treatment. The passage is actually discussing a DBT (Dialectical Behavior Therapy) skill called ""Radical Acceptance"" which is about accepting situations and facts as they are, without judgment or resistance. It does not mention mental illness treatment at all.","You are a clinical assistant.

Context:
[Source: data\curated_kb\dbt-distress-tolerance-skills-standard-english.pdf | Rank: 1 | Chunk: dbt-distress-tolerance-skills-standard-english_0_parent_0_child_0]
Distress Tolerance 
DBT skills 
Provided by TherapistAid.com 
 1 
© 2024 Therapist Aid LLC 
 
 
 
When you face problems out of your control, it’s natural to think “This isn’t fair” or “I shouldn’t have to deal 
with this.” But these ways of thinking only make the pain worse and add frustration. Radical acceptance means accepting something fully, both mentally and emotionally. It does not require 
liking or approving of something. You’re just accepting the facts of the situation.

Clinical Query:
What is the passage suggesting about the timing of mental illness treatment?

Answer:",0.0,0.16279069767441862,0.13483146067415733,2579.7028101515025,"Distress Tolerance 
DBT skills 
Provided by TherapistAid.com 
 1 
© 2024 Therapist Aid LLC 
 
 
 
When you face problems out of your control, it’s natural to think “This isn’t fair” or “I shouldn’t have to deal 
with this.” But these ways of thinking only make the pain worse and add frustration. Radical acceptance means accepting something fully, both mentally and emotionally. It does not require 
liking or approving of something. You’re just accepting the facts of the situation.",,,,,"Distress Tolerance 
DBT skills 
Provided by TherapistAid.com 
 1 
© 2024 Therapist Aid LLC 
 
 
 
When you face problems out of your control, it’s natural to think “This isn’t fair” or “I shouldn’t have to deal 
with this.” But these ways of thinking only make the pain worse and add frustration. Radical acceptance means accepting something fully, both mentally and emotionally. It does not require 
liking or approving of something. You’re just accepting the facts of the situation.","Distress Tolerance 
DBT skills 
Provided by TherapistAid.com 
 1 
© 2024 Therapist Aid LLC 
 
 
 
When you face problems out of your control, it’s natural to think “This isn’t fair” or “I shouldn’t have to deal 
with this.” But these ways of thinking only make the pain worse and add frustration. Radical acceptance means accepting something fully, both mentally and emotionally. It does not require 
liking or approving of something. You’re just accepting the facts of the situation."
dense,7,clinician,What are the specific anxiety disorders discussed in this passage?,"(Nemours Foundation)
Also in
Spanish
How to Help Children Build Resilience in Uncertain Times
(American Academy of Pediatrics)
Also in
Spanish
Sleep Tips for Your Family's Mental Health
(American Academy of Pediatrics)
Also in
Spanish
Storm Stress: Helping Kids Stay Calm
(Nemours Foundation)
Also in
Spanish
Specifics
Anxiety Disorders
(Nemours Foundation)
Also in
Spanish
Bipolar Disorder in Children and Teens
(National Institute of Mental Health)
Also in
Spanish
Childhood Depression: What Parents Need to Know
(Nemours Foundation)
Also in
Spanish
Disruptive Mood Dysregulation Disorder
(National Institute of Mental Health)
Helping Children Handle Stress
(American Academy of Pediatrics)
How to Talk with Kids about Tragedies and Other Traumatic News Events
(American Academy of Pediatrics)
Also in
Spanish
Separation Anxiety
(Nemours Foundation)
Also in
Spanish
Statistics and Research
Green Spaces May Improve Kids' Mental Health
(National Institutes of Health)
Also in
Spanish
Clinical Trials
ClinicalTrials.gov: Child Mental Disorders
(National Institutes of Health)
ClinicalTrials.gov: Child Mental Health
(National Institutes of Health)
Journal Articles
References and abstracts from MEDLINE/PubMed (National Library of Medicine)
Article: Effectiveness of intensive community care services for adolescents with acute psychiatric...","Based on the provided passage, there is no specific mention of anxiety disorders. The passage only discusses general strategies for emotion regulation and provides examples of opposite actions to manage emotions such as anger, sadness, and anxiety. It does not specifically discuss any anxiety disorders.","You are a clinical assistant.

Context:
[Source: data\curated_kb\dbt-emotion-regulation-skills-standard-english.pdf | Rank: 1 | Chunk: dbt-emotion-regulation-skills-standard-english_0_parent_2_child_0]
Emotion 
Action 
Opposite Action 
Anger 
Fight, yell, and argue 
Talk quietly and behave politely 
Sadness 
Withdraw from friends 
Call or visit a friend 
Anxiety 
Dwell on the anxiety-producing 
event 
Do something unrelated that 
occupies your thoughts 
  
 
 
Have you ever had a strong emotional reaction to something, then regretted it the next day? Oftentimes, the 
things that feel like a big deal in the moment turn out to be unimportant when we look back with a clear 
mind.

Clinical Query:
What are the specific anxiety disorders discussed in this passage?

Answer:",0.0,0.08849557522123894,0.0782608695652174,2411.280447850004,"Emotion 
Action 
Opposite Action 
Anger 
Fight, yell, and argue 
Talk quietly and behave politely 
Sadness 
Withdraw from friends 
Call or visit a friend 
Anxiety 
Dwell on the anxiety-producing 
event 
Do something unrelated that 
occupies your thoughts 
  
 
 
Have you ever had a strong emotional reaction to something, then regretted it the next day? Oftentimes, the 
things that feel like a big deal in the moment turn out to be unimportant when we look back with a clear 
mind.",,,,,"Emotion 
Action 
Opposite Action 
Anger 
Fight, yell, and argue 
Talk quietly and behave politely 
Sadness 
Withdraw from friends 
Call or visit a friend 
Anxiety 
Dwell on the anxiety-producing 
event 
Do something unrelated that 
occupies your thoughts 
  
 
 
Have you ever had a strong emotional reaction to something, then regretted it the next day? Oftentimes, the 
things that feel like a big deal in the moment turn out to be unimportant when we look back with a clear 
mind.","Emotion 
Action 
Opposite Action 
Anger 
Fight, yell, and argue 
Talk quietly and behave politely 
Sadness 
Withdraw from friends 
Call or visit a friend 
Anxiety 
Dwell on the anxiety-producing 
event 
Do something unrelated that 
occupies your thoughts 
  
 
 
Have you ever had a strong emotional reaction to something, then regretted it the next day? Oftentimes, the 
things that feel like a big deal in the moment turn out to be unimportant when we look back with a clear 
mind."
dense,8,clinician,What is the primary NIH organization responsible for research on child mental health according to this passage?,"(National Institute of Mental Health)
-
PDF
Also in
Spanish
Talking about Your Feelings
(Nemours Foundation)
Also in
Spanish
What to Do When You Feel Lonely
(Nemours Foundation)
Patient Handouts
Generalized anxiety disorder in children
(Medical Encyclopedia)
Also in
Spanish
Reactive attachment disorder of infancy or early childhood
(Medical Encyclopedia)
Also in
Spanish
Stress in childhood
(Medical Encyclopedia)
Also in
Spanish
Traumatic events and children
(Medical Encyclopedia)
Also in
Spanish
Topic Image
MEDICAL ENCYCLOPEDIA
Children and grief
Generalized anxiety disorder in children
Reactive attachment disorder of infancy or early childhood
Stereotypic movement disorder
Stress in childhood
Traumatic events and children
Related Health Topics
Bullying and Cyberbullying
Child Behavior Disorders
Mental Disorders
Mental Health
National Institutes of Health
The primary NIH organization for research on
Child Mental Health
is the
National Institute of Mental Health
Disclaimers
MedlinePlus links to health information from the National Institutes of Health and other federal government agencies.","This passage does not mention the National Institutes of Health (NIH) or any specific organization responsible for research on child mental health. The text primarily focuses on providing a list of healthy habits and an acronym (PLEASE) to remember them, as well as discussing how people tend to focus on negative comments rather than positive ones. Therefore, it does not provide information about the primary NIH organization responsible for research on child mental health.","You are a clinical assistant.

Context:
[Source: data\curated_kb\dbt-emotion-regulation-skills-standard-english.pdf | Rank: 1 | Chunk: dbt-emotion-regulation-skills-standard-english_1_parent_0_child_0]
Emotion Regulation 
DBT skills 
Provided by TherapistAid.com 
 2 
© 2024 Therapist Aid LLC 
 
 
 
Your physical health and mind are closely linked. A healthy lifestyle improves mental health and makes it 
easier to manage difficult emotions. Use the acronym PLEASE to remind yourself of five healthy habits. PL 
Treat physical illness 
E 
Eat healthy 
A 
Avoid mood-altering drugs 
S 
Sleep well 
E 
Exercise 
  
 
 
Most people who hear ten compliments and one criticism will focus on that single negative comment.

Clinical Query:
What is the primary NIH organization responsible for research on child mental health according to this passage?

Answer:",0.0,0.23214285714285718,0.16964285714285715,3477.490955963731,"Emotion Regulation 
DBT skills 
Provided by TherapistAid.com 
 2 
© 2024 Therapist Aid LLC 
 
 
 
Your physical health and mind are closely linked. A healthy lifestyle improves mental health and makes it 
easier to manage difficult emotions. Use the acronym PLEASE to remind yourself of five healthy habits. PL 
Treat physical illness 
E 
Eat healthy 
A 
Avoid mood-altering drugs 
S 
Sleep well 
E 
Exercise 
  
 
 
Most people who hear ten compliments and one criticism will focus on that single negative comment.",,,,,"Emotion Regulation 
DBT skills 
Provided by TherapistAid.com 
 2 
© 2024 Therapist Aid LLC 
 
 
 
Your physical health and mind are closely linked. A healthy lifestyle improves mental health and makes it 
easier to manage difficult emotions. Use the acronym PLEASE to remind yourself of five healthy habits. PL 
Treat physical illness 
E 
Eat healthy 
A 
Avoid mood-altering drugs 
S 
Sleep well 
E 
Exercise 
  
 
 
Most people who hear ten compliments and one criticism will focus on that single negative comment.","Emotion Regulation 
DBT skills 
Provided by TherapistAid.com 
 2 
© 2024 Therapist Aid LLC 
 
 
 
Your physical health and mind are closely linked. A healthy lifestyle improves mental health and makes it 
easier to manage difficult emotions. Use the acronym PLEASE to remind yourself of five healthy habits. PL 
Treat physical illness 
E 
Eat healthy 
A 
Avoid mood-altering drugs 
S 
Sleep well 
E 
Exercise 
  
 
 
Most people who hear ten compliments and one criticism will focus on that single negative comment."
dense,9,clinician,"What are the primary benefits of good mental health, according to this passage?","Mental health is important at every stage of life, from
childhood
and
the teen years
through adulthood and
older age
. Good mental health can help you:
Cope with stress
Be physically healthy
Have good relationships
Make meaningful contributions to your community
Work productively
Realize your full potential
How can I improve my mental health?","According to this passage, the primary benefits of good mental health include:

1. Improving emotional regulation skills
2. Making it easier to manage difficult emotions

These benefits are mentioned in the context of a healthy lifestyle and the PLEASE acronym, which highlights the importance of physical health habits (such as treating physical illness, eating healthy, avoiding mood-altering drugs, sleeping well, and exercising) for maintaining good mental health.","You are a clinical assistant.

Context:
[Source: data\curated_kb\dbt-emotion-regulation-skills-standard-english.pdf | Rank: 1 | Chunk: dbt-emotion-regulation-skills-standard-english_1_parent_0_child_0]
Emotion Regulation 
DBT skills 
Provided by TherapistAid.com 
 2 
© 2024 Therapist Aid LLC 
 
 
 
Your physical health and mind are closely linked. A healthy lifestyle improves mental health and makes it 
easier to manage difficult emotions. Use the acronym PLEASE to remind yourself of five healthy habits. PL 
Treat physical illness 
E 
Eat healthy 
A 
Avoid mood-altering drugs 
S 
Sleep well 
E 
Exercise 
  
 
 
Most people who hear ten compliments and one criticism will focus on that single negative comment.

Clinical Query:
What are the primary benefits of good mental health, according to this passage?

Answer:",0.0,0.21487603305785125,0.18032786885245902,2982.091662939638,"Emotion Regulation 
DBT skills 
Provided by TherapistAid.com 
 2 
© 2024 Therapist Aid LLC 
 
 
 
Your physical health and mind are closely linked. A healthy lifestyle improves mental health and makes it 
easier to manage difficult emotions. Use the acronym PLEASE to remind yourself of five healthy habits. PL 
Treat physical illness 
E 
Eat healthy 
A 
Avoid mood-altering drugs 
S 
Sleep well 
E 
Exercise 
  
 
 
Most people who hear ten compliments and one criticism will focus on that single negative comment.",,,,,"Emotion Regulation 
DBT skills 
Provided by TherapistAid.com 
 2 
© 2024 Therapist Aid LLC 
 
 
 
Your physical health and mind are closely linked. A healthy lifestyle improves mental health and makes it 
easier to manage difficult emotions. Use the acronym PLEASE to remind yourself of five healthy habits. PL 
Treat physical illness 
E 
Eat healthy 
A 
Avoid mood-altering drugs 
S 
Sleep well 
E 
Exercise 
  
 
 
Most people who hear ten compliments and one criticism will focus on that single negative comment.","Emotion Regulation 
DBT skills 
Provided by TherapistAid.com 
 2 
© 2024 Therapist Aid LLC 
 
 
 
Your physical health and mind are closely linked. A healthy lifestyle improves mental health and makes it 
easier to manage difficult emotions. Use the acronym PLEASE to remind yourself of five healthy habits. PL 
Treat physical illness 
E 
Eat healthy 
A 
Avoid mood-altering drugs 
S 
Sleep well 
E 
Exercise 
  
 
 
Most people who hear ten compliments and one criticism will focus on that single negative comment."
